6410272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1815610,0,0,0,0,0,0,0,0,0,1,2,0,0,2,0,1,2,0,0,4,1,1,1,0,0,2,10,0,8,0,0,2,0,1,0,0,0,3,1,38,2,0,1,0,0
5982428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1687694,0,0,0,0,0,0,0,0,19,2,1,0,0,0,7,0,1,0,0,2,1,4,0,0,0,1,5,0,0,1,0,0,0,0,0,0,0,0,0,18,3,0,8,2,0
5638402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6145083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1687218,0,0,0,0,0,0,18,3,3,0,1,14,13,6,4,10,2,6,21,7,8,19,21,24,33,32,26,14,5,2,4,0,1,0,0,1,0,0,3,165,32,40,12,30,0
2119427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2247744,0,0,0,0,16,5,7,3,8,2,3,4,8,4,5,3,2,14,9,24,22,37,18,17,36,33,24,17,47,28,21,32,20,18,17,29,16,26,17,227,252,45,37,42,0
3699744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,0,2,0,3,3,0,0,11,4,3,0,1,0
1488085,0,0,0,0,15,13,14,11,8,2,6,13,13,18,21,20,29,30,25,41,30,19,20,10,13,23,46,23,21,15,15,17,11,8,10,6,14,11,15,172,193,74,81,74,0
1104996,0,0,0,0,0,0,0,0,0,0,0,0,19,20,49,30,17,28,45,66,52,94,72,90,82,49,70,31,28,22,33,23,32,47,17,16,42,28,11,232,151,454,118,159,0
1697011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4532619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1184670,0,0,0,0,28,29,26,28,25,17,14,10,26,23,19,21,26,48,57,50,61,36,53,37,37,45,32,26,27,26,18,15,12,14,33,9,17,19,31,234,372,88,105,107,0
1644956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,8,3,1,4,2,1,6,1,3,0,0,0,3,1,6,2,0,1,0,23,9,0,6,4,0
1906996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,55,31,48,106,81,62,169,96,68,32,74,18,71,73,148,150,24,14,365,197,158,265,226,0
5622059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4394895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,49,68,103,102,169,103,12,27,219,357,117,128,0
2172080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0
